"Keyword Version: 21.4","Revision: 2025-05-23 09:24:06","Timestamp: 2025-06-06 12:21:03","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.earthdata.nasa.gov/kms/concepts/concept_scheme/locations/?format=xml","Case native"
"CONTINENT","SOUTH AMERICA","ECUADOR","","","","b7eb8278-0dc3-4121-87ea-14173279dfb4"
"CONTINENT","AFRICA","NORTHERN AFRICA","EGYPT","","","58813ee3-ea1f-40a3-a0da-1198d78c06dd"
"CONTINENT","NORTH AMERICA","CENTRAL AMERICA","EL SALVADOR","","","8d237194-e6b5-418b-ab67-e20e260867e9"
"GEOGRAPHIC REGION","EQUATORIAL","","","","","7c5c3754-7b3d-4c08-9ea3-670ed82629ec"
"CONTINENT","AFRICA","CENTRAL AFRICA","EQUATORIAL GUINEA","","","3b515cd8-bc42-4fab-9990-df3be2817938"
"CONTINENT","AFRICA","EASTERN AFRICA","ERITREA","","","3f3cc6a3-81e3-49b6-b23a-b02678840e06"
"CONTINENT","EUROPE","NORTHERN EUROPE","ESTONIA","","","f0b2da18-9290-4aaf-8e91-4b52e3d9dfc4"
"CONTINENT","AFRICA","SOUTHERN AFRICA","ESWATINI","","","0dd6b942-de19-4712-bd1d-aa301f0ee965"
"CONTINENT","AFRICA","EASTERN AFRICA","ETHIOPIA","","","bf35988f-1bab-4b16-87c4-811c572f7b24"
"GEOGRAPHIC REGION","EURASIA","","","","","350fb2da-c713-497e-9d7d-42dcad0df83f"
"CONTINENT","EUROPE","","","","","0b3765f7-20f7-4425-bd50-d1bb99d09d86"
"OCEAN","ATLANTIC OCEAN","NORTH ATLANTIC OCEAN","NORWEGIAN SEA","FAEROE ISLANDS","","539e03d8-2a5c-4786-8ed5-ff27cf595e36"
"OCEAN","ATLANTIC OCEAN","SOUTH ATLANTIC OCEAN","FALKLAND ISLANDS","","","5c637509-8e68-4511-9b85-8bbee1107a7a"
"OCEAN","PACIFIC OCEAN","SOUTH PACIFIC OCEAN","POLYNESIA","FIJI","","3c6073a8-432d-4cf9-9d48-1963cc5290ff"
"CONTINENT","EUROPE","NORTHERN EUROPE","SCANDINAVIA","FINLAND","","b198283f-02d9-424e-838a-8997a18139a9"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","FLORIDA","","","b607766c-83f5-42bb-96b2-2de4e7b488a4"
"CONTINENT","NORTH AMERICA","UNITED STATES OF AMERICA","FLORIDA","FLORIDA KEYS","","23e967b5-6a87-47a6-aa93-0a96dbe6c316"
